soil	id	colony	semicochemicals	N	I	O	B	catch	bending	Agr	Nagr	Total
plaster	N1	dreef	n	12	1	6	1	0	3	7	13	20
plaster	N1	dreef	y	5	8	5	2	0	6	7	13	20
sand	N1	dreef	y	13	2	3	2	1	5	5	15	20
sand	N1	dreef	n	10	6	1	3	0	6	4	16	20
organic	N1	dreef	n	13	3	4	0	0	2	4	16	20
organic	N1	dreef	y	15	2	3	0	0	3	3	17	20
plaster	N2	dreef	y	10	5	5	0	0	0	5	15	20
plaster	N2	dreef	n	9	2	9	0	0	2	9	11	20
sand	N2	dreef	y	16	1	2	1	0	1	3	17	20
sand	N2	dreef	n	16	0	4	0	0	2	4	16	20
organic	N2	dreef	y	16	2	2	0	0	3	2	18	20
organic	N2	dreef	n	12	6	1	1	0	1	2	18	20
plaster	N3	dreef	n	12	4	3	1	0	10	4	16	20
plaster	N3	dreef	y	11	1	6	2	2	3	8	12	20
sand	N3	dreef	n	12	6	1	1	0	6	2	18	20
sand	N3	dreef	y	12	4	3	1	0	6	4	16	20
organic	N3	dreef	n	10	4	6	0	0	0	6	14	20
organic	N3	dreef	y	14	2	3	1	0	2	4	16	20
plaster	N4	dreef	n	9	0	11	0	0	4	11	9	20
plaster	N4	dreef	y	4	0	15	1	0	6	16	4	20
sand	N4	dreef	n	9	5	6	0	0	9	6	14	20
sand	N4	dreef	y	12	0	5	3	0	3	8	12	20
organic	N4	dreef	n	12	5	2	1	0	4	3	17	20
organic	N4	dreef	y	13	3	3	1	0	3	4	16	20
plaster	N5	dreef	y	11	3	4	2	0	6	6	14	20
plaster	N5	dreef	n	3	3	12	2	0	1	14	6	20
sand	N5	dreef	n	9	7	4	0	0	0	4	16	20
sand	N5	dreef	y	16	2	2	0	0	7	2	18	20
organic	N5	dreef	n	15	2	3	0	0	3	3	17	20
organic	N5	dreef	y	11	4	2	3	0	3	5	15	20
plaster	N6	dreef	y	7	6	7	0	0	7	7	13	20
plaster	N6	dreef	n	5	4	10	1	0	6	11	9	20
sand	N6	dreef	n	12	5	1	2	0	6	3	17	20
sand	N6	dreef	y	13	4	2	1	0	0	3	17	20
organic	N6	dreef	n	16	1	0	3	0	0	3	17	20
organic	N6	dreef	y	15	2	1	2	0	4	3	17	20
plaster	N7	beisbroek	y	9	3	7	1	0	5	8	12	20
plaster	N7	beisbroek	n	5	5	8	2	0	5	10	10	20
sand	N7	beisbroek	y	11	4	4	1	0	4	5	15	20
sand	N7	beisbroek	n	13	1	5	1	0	2	6	14	20
organic	N7	beisbroek	n	15	3	2	0	0	3	2	18	20
organic	N7	beisbroek	y	9	5	4	2	0	4	6	14	20
plaster	N8	beisbroek	y	9	3	4	4	0	1	8	12	20
plaster	N8	beisbroek	n	11	2	7	0	0	5	7	13	20
sand	N8	beisbroek	n	9	7	4	0	0	1	4	16	20
sand	N8	beisbroek	y	9	4	7	0	0	2	7	13	20
organic	N8	beisbroek	y	7	5	5	3	0	2	8	12	20
organic	N8	beisbroek	n	17	2	1	0	0	1	1	19	20
plaster	N9	beisbroek	n	8	5	7	0	0	6	7	13	20
plaster	N9	beisbroek	y	4	4	11	1	1	0	12	8	20
sand	N9	beisbroek	y	14	2	3	1	0	1	4	16	20
sand	N9	beisbroek	n	17	3	0	0	0	3	0	20	20
organic	N9	beisbroek	n	9	5	6	0	0	5	6	14	20
organic	N9	beisbroek	y	12	6	2	0	0	1	2	18	20
plaster	N10	beisbroek	n	4	1	13	2	0	6	15	5	20
plaster	N10	beisbroek	y	10	2	6	2	0	3	8	12	20
sand	N10	beisbroek	y	10	3	5	2	0	3	7	13	20
sand	N10	beisbroek	n	13	4	1	2	0	6	3	17	20
organic	N10	beisbroek	y	16	0	2	2	0	0	4	16	20
organic	N10	beisbroek	n	13	2	3	2	0	1	5	15	20
plaster	N11	beisbroek	n	3	2	11	4	0	6	15	5	20
plaster	N11	beisbroek	y	2	5	11	2	0	8	13	7	20
sand	N11	beisbroek	y	4	3	10	3	0	6	13	7	20
sand	N11	beisbroek	n	3	3	14	0	0	5	14	6	20
organic	N11	beisbroek	n	10	2	8	0	0	4	8	12	20
organic	N11	beisbroek	y	15	2	3	0	0	4	3	17	20
plaster	N12	beisbroek	y	4	2	13	1	0	0	14	6	20
plaster	N12	beisbroek	n	7	2	11	0	0	2	11	9	20
sand	N12	beisbroek	y	5	2	11	2	0	1	13	7	20
sand	N12	beisbroek	n	9	1	9	1	0	2	10	10	20
organic	N12	beisbroek	y	17	1	1	1	0	1	2	18	20
organic	N12	beisbroek	n	16	1	3	0	0	2	3	17	20
plaster	N13	beisbroek	y	3	1	15	1	0	0	16	4	20
plaster	N13	beisbroek	n	9	3	8	0	0	2	8	12	20
sand	N13	beisbroek	n	5	1	11	3	0	4	14	6	20
sand	N13	beisbroek	y	14	3	3	0	0	4	3	17	20
organic	N13	beisbroek	y	9	4	7	0	0	3	7	13	20
organic	N13	beisbroek	n	17	3	0	0	0	0	0	20	20
plaster	N14	beisbroek	y	8	1	10	1	0	1	11	9	20
plaster	N14	beisbroek	n	9	0	11	0	0	1	11	9	20
sand	N14	beisbroek	y	6	3	9	2	0	1	11	9	20
sand	N14	beisbroek	n	11	2	6	1	0	1	7	13	20
organic	N14	beisbroek	n	16	2	2	0	0	1	2	18	20
organic	N14	beisbroek	y	14	1	5	0	0	2	5	15	20
plaster	N15	beisbroek	n	5	0	13	2	0	0	15	5	20
plaster	N15	beisbroek	y	7	4	9	0	0	3	9	11	20
sand	N15	beisbroek	n	10	0	10	0	0	2	10	10	20
sand	N15	beisbroek	y	10	5	4	1	0	1	5	15	20
organic	N15	beisbroek	n	14	3	2	1	0	2	3	17	20
organic	N15	beisbroek	y	15	2	2	1	0	1	3	17	20
plaster	N16	beisbroek	y	4	4	9	3	0	3	12	8	20
plaster	N16	beisbroek	n	1	1	17	1	0	0	18	2	20
sand	N16	beisbroek	y	11	2	5	2	0	2	7	13	20
sand	N16	beisbroek	n	12	5	2	1	0	2	3	17	20
organic	N16	beisbroek	y	15	2	2	1	0	0	3	17	20
organic	N16	beisbroek	n	14	2	3	1	0	5	4	16	20
plaster	N17	beisbroek	n	10	4	6	0	0	2	6	14	20
